Name,Phase,Prerequisite,Unique,Set,Slot,Type,Speed,Low,High,Armor,Health,Mana,Strength,Agility,Stamina,Intellect,Spirit,Attack Power,Spell Damage,Spell Healing,Nature Damage,Frost Damage,Fire Damage,Phys Hit,Spell Hit,Phys Crit,Spell Crit,Dagger Skill,Mace Skill,Axe Skill,Two-hand Mace Skill,Two-hand Axe Skill,Staff Skill,Melee Haste,Spell Haste,Mp5,Hp5,Spell Pen,Defense,Dodge,Parry,Block,Block Value,Arcane Resistance,Fire Resistance,Nature Resistance,Frost Resistance,Shadow Resistance
Durable Cape of Frozen Wrath,,,,,16,,,,,21,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,
Durable Cape of Healing,,,,,16,,,,,21,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Durable Cape of Intellect,,,,,16,,,,,21,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Durable Cape of Shadow Wrath,,,,,16,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Durable Cape of Spirit,,,,,16,,,,,21,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Durable Cape of Stamina,,,,,16,,,,,21,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Durable Cape of the Eagle,,,,,16,,,,,21,,,,,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Durable Cape of the Owl,,,,,16,,,,,21,,,,,,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Durable Cape of the Whale,,,,,16,,,,,21,,,,,4,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dust Bowl,,,,,14,,,,,378,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,
Dwarven Hatchet,,,,,21,,2,10,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dwarven Magestaff of Arcane Wrath,,,,,17,,2.8,41,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dwarven Magestaff of Fiery Wrath,,,,,17,,2.8,41,62,,,,,,,,,,,,,,1),,,,,,,,,,,,,,,,,,,,,,,,,
Dwarven Magestaff of Frozen Wrath,,,,,17,,2.8,41,62,,,,,,,,,,,,,1),,,,,,,,,,,,,,,,,,,,,,,,,,
Dwarven Magestaff of Healing,,,,,17,,2.8,41,62,,,,,,,,,,,2),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dwarven Magestaff of Intellect,,,,,17,,2.8,41,62,,,,,,,1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dwarven Magestaff of Nature's Wrath,,,,,17,,2.8,41,62,,,,,,,,,,,,1),,,,,,,,,,,,,,,,,,,,,,,,,,,
Dwarven Magestaff of Power,,,,,17,,2.8,41,62,,,,,,,,,2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dwarven Magestaff of Shadow Wrath,,,,,17,,2.8,41,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dwarven Magestaff of Spirit,,,,,17,,2.8,41,62,,,,,,,,1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dwarven Magestaff of Stamina,,,,,17,,2.8,41,62,,,,,,1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dwarven Magestaff of the Bear,,,,,17,,2.8,41,62,,,,6,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dwarven Magestaff of the Boar,,,,,17,,2.8,41,62,,,,6,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dwarven Magestaff of the Eagle,,,,,17,,2.8,41,62,,,,,,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dwarven Magestaff of the Monkey,,,,,17,,2.8,41,62,,,,,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dwarven Magestaff of the Owl,,,,,17,,2.8,41,62,,,,,,,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dwarven Magestaff of the Whale,,,,,17,,2.8,41,62,,,,,,6,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dwarven Magestaff of the Wolf,,,,,17,,2.8,41,62,,,,,6,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dyadic Icon,,,1,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Earthen Leather Shoulders,,,,,3,,,,,67,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eerie Stable Lantern,,,,,23,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elder's Cloak of Arcane Wrath,,,,,16,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elder's Cloak of Fiery Wrath,,,,,16,,,,,21,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,
Elder's Cloak of Frozen Wrath,,,,,16,,,,,21,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,
Elder's Cloak of Healing,,,,,16,,,,,21,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elder's Cloak of Intellect,,,,,16,,,,,21,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elder's Cloak of Shadow Wrath,,,,,16,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elder's Cloak of Spirit,,,,,16,,,,,21,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elder's Cloak of Stamina,,,,,16,,,,,21,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elder's Cloak of the Eagle,,,,,16,,,,,21,,,,,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elder's Cloak of the Owl,,,,,16,,,,,21,,,,,,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elder's Cloak of the Whale,,,,,16,,,,,21,,,,,4,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emberstone Staff,,,,,17,,3,47,71,,,,,,5,8,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emblazoned Belt,,,,,6,,,,,52,,,7,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emblazoned Boots,,,,,8,,,,,64,,,,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emblazoned Bracers,,,,,9,,,,,40,,,,,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emblazoned Buckler,,,,,14,,,,,578,,,,,2,,5,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,
Emblazoned Cloak,,,,,16,,,,,20,,,,,5,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emblazoned Gloves,,,,,10,,,,,57,,,,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emblazoned Shoulders,,,,,3,,,,,70,,,,,,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Embossed Leather Boots,,,,,8,,,,,48,,,,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Embossed Leather Pants,,,,,7,,,,,61,,,,,2,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Embossed Leather Vest,,,,,5,,,,,62,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Engineer's Cloak,,,,,16,,,,,20,,,,,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Engineer's Hammer,,,,,21,,2.4,13,26,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Everglow Lantern,,,,,23,,2,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Evocator's Blade,,,1,,13,,1.6,17,32,,,,,,,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extraplanar Spidersilk Boots,,,,,8,,,,,35,,,,,5,5,6,,7,7,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,
Face Smasher,,,,,13,,2.6,25,48,,,,3,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Faerleia's Shield,,,,,14,,,,,328,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,
Fairywing Mantle,,,,,3,,,,,32,,,,,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Featherbead Bracers,,,,,9,,,,,14,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feathered Cape,,,,,16,,,,,20,,,,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feet of the Lynx,,,,,8,,,,,63,,,3,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feline Mantle,,,,,3,,,,,34,,,,2,,10,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fenrus' Hide,,,,,16,,,,,20,,,,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feral Bindings of Agility,,,,,9,,,,,31,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feral Bindings of Arcane Wrath,,,,,9,,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feral Bindings of Healing,,,,,9,,,,,31,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feral Bindings of Intellect,,,,,9,,,,,31,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feral Bindings of Nature's Wrath,,,,,9,,,,,31,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feral Bindings of Power,,,,,9,,,,,31,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feral Bindings of Spirit,,,,,9,,,,,31,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feral Bindings of Stamina,,,,,9,,,,,31,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feral Bindings of the Eagle,,,,,9,,,,,31,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feral Bindings of the Falcon,,,,,9,,,,,31,,,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feral Bindings of the Monkey,,,,,9,,,,,31,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feral Bindings of the Owl,,,,,9,,,,,31,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feral Bindings of the Whale,,,,,9,,,,,31,,,,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feral Bindings of the Wolf,,,,,9,,,,,31,,,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feral Buckler of Agility,,,,,14,,,,,395,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,
Feral Buckler of Blocking,,,,,14,,,,,395,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,
Feral Buckler of Defense,,,,,14,,,,,395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,
Feral Buckler of Stamina,,,,,14,,,,,395,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,
Feral Buckler of Strength,,,,,14,,,,,395,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,
Feral Buckler of the Bear,,,,,14,,,,,395,,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,
Feral Buckler of the Boar,,,,,14,,,,,395,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,
Feral Buckler of the Gorilla,,,,,14,,,,,395,,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,
Feral Buckler of the Monkey,,,,,14,,,,,395,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,
Feral Buckler of the Tiger,,,,,14,,,,,395,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,
Feral Cloak of Agility,,,,,16,,,,,14,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feral Cloak of Arcane Wrath,,,,,16,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feral Cloak of Defense,,,,,16,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feral Cloak of Healing,,,,,16,,,,,14,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feral Cloak of Intellect,,,,,16,,,,,14,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feral Cloak of Nature's Wrath,,,,,16,,,,,14,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feral Cloak of Spirit,,,,,16,,,,,14,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feral Cloak of Stamina,,,,,16,,,,,14,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feral Cloak of the Eagle,,,,,16,,,,,14,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feral Cloak of the Falcon,,,,,16,,,,,14,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feral Cloak of the Monkey,,,,,16,,,,,14,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feral Cloak of the Owl,,,,,16,,,,,14,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feral Cloak of the Whale,,,,,16,,,,,14,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feral Cloak of the Wolf,,,,,16,,,,,14,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feral Cord of Arcane Wrath,,,,,6,,,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feral Cord of Defense,,,,,6,,,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feral Cord of Healing,,,,,6,,,,,41,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feral Cord of Intellect,,,,,6,,,,,41,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feral Cord of the Bear,,,,,6,,,,,41,,,3,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feral Cord of the Boar,,,,,6,,,,,41,,,3,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feral Cord of the Eagle,,,,,6,,,,,41,,,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feral Cord of the Falcon,,,,,6,,,,,41,,,,3,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feral Cord of the Monkey,,,,,6,,,,,41,,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feral Cord of the Owl,,,,,6,,,,,41,,,,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feral Cord of the Tiger,,,,,6,,,,,41,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feral Cord of the Whale,,,,,6,,,,,41,,,,,3,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feral Cord of the Wolf,,,,,6,,,,,41,,,,3,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feral Gloves of Arcane Wrath,,,,,10,,,,,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feral Gloves of Defense,,,,,10,,,,,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feral Gloves of Healing,,,,,10,,,,,46,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feral Gloves of Spirit,,,,,10,,,,,46,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feral Gloves of the Bear,,,,,10,,,,,46,,,3,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feral Gloves of the Eagle,,,,,10,,,,,46,,,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feral Gloves of the Falcon,,,,,10,,,,,46,,,,3,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feral Gloves of the Gorilla,,,,,10,,,,,46,,,3,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feral Gloves of the Monkey,,,,,10,,,,,46,,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feral Gloves of the Owl,,,,,10,,,,,46,,,,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feral Gloves of the Tiger,,,,,10,,,,,46,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feral Gloves of the Whale,,,,,10,,,,,46,,,,,3,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feral Gloves of the Wolf,,,,,10,,,,,46,,,,3,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feral Harness of Agility,,,,,5,,,,,81,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feral Harness of Intellect,,,,,5,,,,,81,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feral Harness of Nature's Wrath,,,,,5,,,,,81,,,,,,,,,,,1),,,,,,,,,,,,,,,,,,,,,,,,,,,
Feral Harness of Power,,,,,5,,,,,81,,,,,,,,1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feral Harness of Spirit,,,,,5,,,,,81,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feral Harness of Stamina,,,,,5,,,,,81,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feral Harness of the Eagle,,,,,5,,,,,81,,,,,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feral Harness of the Falcon,,,,,5,,,,,81,,,,5,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feral Harness of the Monkey,,,,,5,,,,,81,,,,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feral Harness of the Owl,,,,,5,,,,,81,,,,,,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feral Harness of the Whale,,,,,5,,,,,81,,,,,5,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feral Harness of the Wolf,,,,,5,,,,,81,,,,5,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feral Leggings of Agility,,,,,7,,,,,68,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feral Leggings of Arcane Wrath,,,,,7,,,,,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feral Leggings of Healing,,,,,7,,,,,68,,,,,,,,,,1),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feral Leggings of Power,,,,,7,,,,,68,,,,,,,,1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feral Leggings of Spirit,,,,,7,,,,,68,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feral Leggings of the Bear,,,,,7,,,,,68,,,4,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feral Leggings of the Eagle,,,,,7,,,,,68,,,,,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feral Leggings of the Falcon,,,,,7,,,,,68,,,,4,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feral Leggings of the Gorilla,,,,,7,,,,,68,,,4,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feral Leggings of the Monkey,,,,,7,,,,,68,,,,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feral Leggings of the Owl,,,,,7,,,,,68,,,,,,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feral Leggings of the Whale,,,,,7,,,,,68,,,,,4,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feral Leggings of the Wolf,,,,,7,,,,,68,,,,4,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feral Shoes of Agility,,,,,8,,,,,51,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feral Shoes of Nature's Wrath,,,,,8,,,,,51,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feral Shoes of Power,,,,,8,,,,,51,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feral Shoes of Spirit,,,,,8,,,,,51,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feral Shoes of Stamina,,,,,8,,,,,51,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feral Shoes of the Eagle,,,,,8,,,,,51,,,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feral Shoes of the Falcon,,,,,8,,,,,51,,,,3,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feral Shoes of the Gorilla,,,,,8,,,,,51,,,3,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feral Shoes of the Monkey,,,,,8,,,,,51,,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feral Shoes of the Owl,,,,,8,,,,,51,,,,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feral Shoes of the Whale,,,,,8,,,,,51,,,,,3,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feral Shoes of the Wolf,,,,,8,,,,,51,,,,3,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feyscale Cloak,,,,,16,,,,,17,,,,,3,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiery Cloak,,,,,16,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,
Fine Leather Cloak,,,,,16,,,,,14,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fine Leather Gloves,,,,,10,,,,,43,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fine Leather Pants,,,,,7,,,,,69,,,,,,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fine Leather Tunic,,,,,5,,,,,73,,,,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fingerbone Bracers,,,,,9,,,,,18,,,,,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Firebane Cloak,,,,,16,,,,,19,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,
Fireproof Orb,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,
Firewalker Boots,,,,,8,,,,,26,,,2,,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fist of the Wild,,,,,17,,2.8,43.52000007629394,71.52000274658202,60,,,6,6,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flesh Carver,,,,,21,,2.3,18,35,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flesh Piercer,,,,,13,,2,21,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fletcher's Gloves,,,,,10,,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flowing Scarf,,,,,16,,,,,24,,,,,,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Foamspittle Staff,,,,,17,,3.2,29,44,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Footpads of the Fang,,,,,8,,,,,57,,,,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Foreman Pants,,,,,7,,,,,18,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Foreman Vest,,,,,5,,,,,21,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Foreman's Boots,,,,,8,,,,,24,,,,,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Foreman's Gloves,,,,,10,,,,,48,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forest Buckler,,,,,14,,,,,478,,,,,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,
Forest Cloak,,,,,16,,,,,18,,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forest Leather Belt,,,,,6,,,,,46,,,4,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forest Leather Boots,,,,,8,,,,,58,,,4,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forest Leather Bracers,,,,,9,,,,,37,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forest Leather Chestpiece,,,,,5,,,,,87,,,,,4,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forest Leather Gloves,,,,,10,,,,,53,,,,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forest Leather Mantle,,,,,3,,,,,64,,,,,4,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forest Leather Pants,,,,,7,,,,,76,,,,6,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forester's Axe of Agility,,,,,21,,2.5,20,38,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forester's Axe of Power,,,,,21,,2.5,20,38,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forester's Axe of Stamina,,,,,21,,2.5,20,38,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forester's Axe of Strength,,,,,21,,2.5,20,38,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forester's Axe of the Bear,,,,,21,,2.5,20,38,,,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forester's Axe of the Boar,,,,,21,,2.5,20,38,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forester's Axe of the Eagle,,,,,21,,2.5,20,38,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forester's Axe of the Monkey,,,,,21,,2.5,20,38,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forester's Axe of the Tiger,,,,,21,,2.5,20,38,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forester's Axe of the Whale,,,,,21,,2.5,20,38,,,,,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forester's Axe of the Wolf,,,,,21,,2.5,20,38,,,,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fortified Cloak of Defense,,,,,16,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fortified Cloak of Healing,,,,,16,,,,,18,,,,,,,,,,1),,,,,,,,,,,,,,,,,,,,,,,,,,,,
