Name,Phase,Prerequisite,Unique,Set,Slot,Type,Speed,Low,High,Armor,Health,Mana,Strength,Agility,Stamina,Intellect,Spirit,Attack Power,Spell Damage,Spell Healing,Nature Damage,Frost Damage,Fire Damage,Phys Hit,Spell Hit,Phys Crit,Spell Crit,Dagger Skill,Mace Skill,Axe Skill,Two-hand Mace Skill,Two-hand Axe Skill,Staff Skill,Melee Haste,Spell Haste,Mp5,Hp5,Spell Pen,Defense,Dodge,Parry,Block,Block Value,Arcane Resistance,Fire Resistance,Nature Resistance,Frost Resistance,Shadow Resistance
Bard's Trousers of the Owl,25,,,,Legs,,,,,65,,,,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bard's Trousers of the Whale,25,,,,Legs,,,,,65,,,,,3,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bard's Trousers of the Wolf,25,,,,Legs,,,,,65,,,,3,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beaded Britches,25,,,,Legs,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blackened Defias Leggings,25,,,,Legs,,,,,65,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bluegill Breeches,25,,,,Legs,,,,,72,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brambleweed Leggings,25,,,,Legs,,,,,68,,,,4,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bright Pants,25,,,,Legs,,,,,35,,,,,6,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bristlebark Britches,25,,,,Legs,,,,,76,,,,8,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buccaneer's Pants,25,,,,Legs,,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burnt Leather Breeches,25,,,,Legs,,,,,48,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ceremonial Leather Loincloth,25,,,,Legs,,,,,64,,,3,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colorful Kilt,25,,,,Legs,,,,,33,,,,5,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dark Leather Pants,25,,,,Legs,,,,,72,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Darkweave Breeches,25,,,,Legs,,,,,35,,,,,4,7,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dervish Leggings of Agility,25,,,,Legs,,,,,82,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dervish Leggings of Arcane Wrath,25,,,,Legs,,,,,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dervish Leggings of Healing,25,,,,Legs,,,,,82,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dervish Leggings of Power,25,,,,Legs,,,,,82,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dervish Leggings of Spirit,25,,,,Legs,,,,,82,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dervish Leggings of the Bear,25,,,,Legs,,,,,82,,,7,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dervish Leggings of the Eagle,25,,,,Legs,,,,,82,,,,,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dervish Leggings of the Falcon,25,,,,Legs,,,,,82,,,,7,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dervish Leggings of the Gorilla,25,,,,Legs,,,,,82,,,7,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dervish Leggings of the Monkey,25,,,,Legs,,,,,82,,,,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dervish Leggings of the Owl,25,,,,Legs,,,,,82,,,,,,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dervish Leggings of the Whale,25,,,,Legs,,,,,82,,,,,7,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dervish Leggings of the Wolf,25,,,,Legs,,,,,82,,,,7,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Disciple's Pants,25,,,,Legs,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dredgemire Leggings,25,,,,Legs,,,,,65,,,,2,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Embossed Leather Pants,25,,,,Legs,,,,,61,,,,,2,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feral Leggings of Agility,25,,,,Legs,,,,,68,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feral Leggings of Arcane Wrath,25,,,,Legs,,,,,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feral Leggings of Healing,25,,,,Legs,,,,,68,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feral Leggings of Power,25,,,,Legs,,,,,68,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feral Leggings of Spirit,25,,,,Legs,,,,,68,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feral Leggings of the Bear,25,,,,Legs,,,,,68,,,4,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feral Leggings of the Eagle,25,,,,Legs,,,,,68,,,,,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feral Leggings of the Falcon,25,,,,Legs,,,,,68,,,,4,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feral Leggings of the Gorilla,25,,,,Legs,,,,,68,,,4,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feral Leggings of the Monkey,25,,,,Legs,,,,,68,,,,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feral Leggings of the Owl,25,,,,Legs,,,,,68,,,,,,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feral Leggings of the Whale,25,,,,Legs,,,,,68,,,,,4,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feral Leggings of the Wolf,25,,,,Legs,,,,,68,,,,4,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fine Leather Pants,25,,,,Legs,,,,,69,,,,,,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Foreman Pants,25,,,,Legs,,,,,18,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forest Leather Pants,25,,,,Legs,,,,,76,,,,6,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gaze Dreamer Leggings,25,,,,Legs,,,,,43,,,,,6,9,9,,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gaze Dreamer Pants,25,,,,Legs,,,,,36,,,,,,7,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ghastly Trousers,25,,,,Legs,,,,,28,,,,,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greasy Tinker's Pants,25,,,,Legs,,,,,65,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greenweave Leggings,25,,,,Legs,,,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grizzly Pants of Agility,25,,,,Legs,,,,,60,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grizzly Pants of Arcane Wrath,25,,,,Legs,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grizzly Pants of Healing,25,,,,Legs,,,,,60,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grizzly Pants of Power,25,,,,Legs,,,,,60,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grizzly Pants of Spirit,25,,,,Legs,,,,,60,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grizzly Pants of the Bear,25,,,,Legs,,,,,60,,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grizzly Pants of the Eagle,25,,,,Legs,,,,,60,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grizzly Pants of the Falcon,25,,,,Legs,,,,,60,,,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grizzly Pants of the Gorilla,25,,,,Legs,,,,,60,,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grizzly Pants of the Monkey,25,,,,Legs,,,,,60,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grizzly Pants of the Owl,25,,,,Legs,,,,,60,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grizzly Pants of the Whale,25,,,,Legs,,,,,60,,,,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grizzly Pants of the Wolf,25,,,,Legs,,,,,60,,,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gypsy Trousers of Agility,25,,,,Legs,,,,,60,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gypsy Trousers of Arcane Wrath,25,,,,Legs,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gypsy Trousers of Healing,25,,,,Legs,,,,,60,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gypsy Trousers of Power,25,,,,Legs,,,,,60,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gypsy Trousers of Spirit,25,,,,Legs,,,,,60,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gypsy Trousers of the Bear,25,,,,Legs,,,,,60,,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gypsy Trousers of the Eagle,25,,,,Legs,,,,,60,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gypsy Trousers of the Falcon,25,,,,Legs,,,,,60,,,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gypsy Trousers of the Gorilla,25,,,,Legs,,,,,60,,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gypsy Trousers of the Monkey,25,,,,Legs,,,,,60,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gypsy Trousers of the Owl,25,,,,Legs,,,,,60,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gypsy Trousers of the Whale,25,,,,Legs,,,,,60,,,,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gypsy Trousers of the Wolf,25,,,,Legs,,,,,60,,,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Handstitched Linen Britches,25,,,,Legs,,,,,23,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heavy Woolen Pants,25,,,,Legs,,,,,31,,,,,,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Humbert's Pants,25,,,,Legs,,,,,37,,,,,7,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hunting Pants,25,,,,Legs,,,,,62,,,,3,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inscribed Leather Pants,25,,,,Legs,,,,,68,,,,,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ivycloth Pants,25,,,,Legs,,,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Journeyman's Pants,25,,,,Legs,,,,,17,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kodo Hunter's Leggings,25,,,,Legs,,,,,61,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leggings of the Fang,25,,,,Legs,,,,,79,,,5,9,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Light Leather Pants,25,,,,Legs,,,,,66,,,,5,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lupine Leggings of Agility,25,,,,Legs,,,,,66,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lupine Leggings of Arcane Wrath,25,,,,Legs,,,,,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lupine Leggings of Healing,25,,,,Legs,,,,,66,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lupine Leggings of Power,25,,,,Legs,,,,,66,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lupine Leggings of Spirit,25,,,,Legs,,,,,66,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lupine Leggings of the Bear,25,,,,Legs,,,,,66,,,4,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lupine Leggings of the Eagle,25,,,,Legs,,,,,66,,,,,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lupine Leggings of the Falcon,25,,,,Legs,,,,,66,,,,4,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lupine Leggings of the Gorilla,25,,,,Legs,,,,,66,,,4,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lupine Leggings of the Monkey,25,,,,Legs,,,,,66,,,,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lupine Leggings of the Owl,25,,,,Legs,,,,,66,,,,,,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lupine Leggings of the Whale,25,,,,Legs,,,,,66,,,,,4,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lupine Leggings of the Wolf,25,,,,Legs,,,,,66,,,,4,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mystic Sarong,25,,,,Legs,,,,,80,,,,,7,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mystic's Woolies,25,,,,Legs,,,,,29,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Native Pants,25,,,,Legs,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pagan Britches,25,,,,Legs,,,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Petrolspill Leggings,25,,,,Legs,,,,,90,,,,14,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10,,,
Phoenix Pants,25,,,,Legs,,,,,34,,,,,,4,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,
Pioneer Trousers of Agility,25,,,,Legs,,,,,54,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pioneer Trousers of Arcane Wrath,25,,,,Legs,,,,,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pioneer Trousers of Healing,25,,,,Legs,,,,,54,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pioneer Trousers of Power,25,,,,Legs,,,,,54,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pioneer Trousers of Spirit,25,,,,Legs,,,,,54,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pioneer Trousers of the Bear,25,,,,Legs,,,,,54,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pioneer Trousers of the Eagle,25,,,,Legs,,,,,54,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pioneer Trousers of the Falcon,25,,,,Legs,,,,,54,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pioneer Trousers of the Gorilla,25,,,,Legs,,,,,54,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pioneer Trousers of the Monkey,25,,,,Legs,,,,,54,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pioneer Trousers of the Owl,25,,,,Legs,,,,,54,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pioneer Trousers of the Whale,25,,,,Legs,,,,,54,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pioneer Trousers of the Wolf,25,,,,Legs,,,,,54,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Primal Leggings of Agility,25,,,,Legs,,,,,51,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Primal Leggings of Arcane Wrath,25,,,,Legs,,,,,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Primal Leggings of Healing,25,,,,Legs,,,,,51,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Primal Leggings of Power,25,,,,Legs,,,,,51,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Primal Leggings of Spirit,25,,,,Legs,,,,,51,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Primal Leggings of the Bear,25,,,,Legs,,,,,51,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Primal Leggings of the Eagle,25,,,,Legs,,,,,51,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Primal Leggings of the Falcon,25,,,,Legs,,,,,51,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Primal Leggings of the Gorilla,25,,,,Legs,,,,,51,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Primal Leggings of the Monkey,25,,,,Legs,,,,,51,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Primal Leggings of the Owl,25,,,,Legs,,,,,51,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Primal Leggings of the Whale,25,,,,Legs,,,,,51,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Primal Leggings of the Wolf,25,,,,Legs,,,,,51,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prospector's Woolies,25,,,,Legs,,,,,69,,,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rigid Leggings of Agility,25,,,,Legs,,,,,73,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rigid Leggings of Arcane Wrath,25,,,,Legs,,,,,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rigid Leggings of Healing,25,,,,Legs,,,,,73,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rigid Leggings of Power,25,,,,Legs,,,,,73,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rigid Leggings of Spirit,25,,,,Legs,,,,,73,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rigid Leggings of the Bear,25,,,,Legs,,,,,73,,,5,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rigid Leggings of the Eagle,25,,,,Legs,,,,,73,,,,,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rigid Leggings of the Falcon,25,,,,Legs,,,,,73,,,,5,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rigid Leggings of the Gorilla,25,,,,Legs,,,,,73,,,5,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rigid Leggings of the Monkey,25,,,,Legs,,,,,73,,,,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rigid Leggings of the Owl,25,,,,Legs,,,,,73,,,,,,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rigid Leggings of the Whale,25,,,,Legs,,,,,73,,,,,5,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rigid Leggings of the Wolf,25,,,,Legs,,,,,73,,,,5,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ritual Leggings,25,,,,Legs,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robust Leggings of Agility,25,,,,Legs,,,,,80,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robust Leggings of Arcane Wrath,25,,,,Legs,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robust Leggings of Healing,25,,,,Legs,,,,,80,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robust Leggings of Power,25,,,,Legs,,,,,80,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robust Leggings of Spirit,25,,,,Legs,,,,,80,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robust Leggings of the Bear,25,,,,Legs,,,,,80,,,7,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robust Leggings of the Eagle,25,,,,Legs,,,,,80,,,,,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robust Leggings of the Falcon,25,,,,Legs,,,,,80,,,,7,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robust Leggings of the Gorilla,25,,,,Legs,,,,,80,,,7,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robust Leggings of the Monkey,25,,,,Legs,,,,,80,,,,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robust Leggings of the Owl,25,,,,Legs,,,,,80,,,,,,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robust Leggings of the Whale,25,,,,Legs,,,,,80,,,,,7,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robust Leggings of the Wolf,25,,,,Legs,,,,,80,,,,7,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rugged Leather Pants,25,,,,Legs,,,,,51,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saber Leggings,25,,,,Legs,,,,,79,,,,7,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sacred Burial Trousers,25,,,,Legs,,,,,39,,,3,,,5,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sanguine Trousers,25,,,,Legs,,,,,37,,,4,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scarecrow Trousers,25,,,,Legs,,,,,29,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scouting Trousers of Agility,25,,,,Legs,,,,,73,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scouting Trousers of Arcane Wrath,25,,,,Legs,,,,,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scouting Trousers of Healing,25,,,,Legs,,,,,73,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scouting Trousers of Power,25,,,,Legs,,,,,73,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scouting Trousers of Spirit,25,,,,Legs,,,,,73,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scouting Trousers of the Bear,25,,,,Legs,,,,,73,,,5,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scouting Trousers of the Eagle,25,,,,Legs,,,,,73,,,,,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scouting Trousers of the Falcon,25,,,,Legs,,,,,73,,,,5,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scouting Trousers of the Gorilla,25,,,,Legs,,,,,73,,,5,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scouting Trousers of the Monkey,25,,,,Legs,,,,,73,,,,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scouting Trousers of the Owl,25,,,,Legs,,,,,73,,,,,,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scouting Trousers of the Whale,25,,,,Legs,,,,,73,,,,,5,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scouting Trousers of the Wolf,25,,,,Legs,,,,,73,,,,5,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sea Dog Britches,25,,,,Legs,,,,,29,,,4,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seafarer's Pantaloons,25,,,,Legs,,,,,29,,,,,4,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seer's Pants,25,,,,Legs,,,,,29,,,,,3,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shadow Weaver Leggings,25,,,,Legs,,,,,78,,,,6,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shimmering Trousers,25,,,,Legs,,,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Silk-threaded Trousers,25,,,,Legs,,,,,28,,,,3,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Silver-thread Pants,25,,,,Legs,,,,,37,,,,,4,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Simple Britches,25,,,,Legs,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slick Deviate Leggings,25,,,,Legs,,,,,68,,,,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Smelting Pants,25,,,,Legs,,,,,69,,,,,5,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Smoldering Pants,25,,,,Legs,,,,,35,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,
Soul Leech Pants,25,,,,Legs,,,,,43,,,,,7,8,6,,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spellbinder Pants,25,,,,Legs,,,,,25,,,,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stalking Pants,25,,,,Legs,,,,,76,,,,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stamped Trousers,25,,,,Legs,,,,,28,,,,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stonemason Trousers,25,,,,Legs,,,,,68,,,,4,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stretched Leather Trousers,25,,,,Legs,,,,,61,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Superior Leggings of Agility,25,,,,Legs,,,,,79,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Superior Leggings of Arcane Wrath,25,,,,Legs,,,,,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Superior Leggings of Healing,25,,,,Legs,,,,,79,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Superior Leggings of Power,25,,,,Legs,,,,,79,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Superior Leggings of Spirit,25,,,,Legs,,,,,79,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Superior Leggings of the Bear,25,,,,Legs,,,,,79,,,7,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
